;Date;year;type;country;activity;sex;injury;fatal_boolean;time
40;23-Feb-2018;;Unprovoked;AUSTRALIA;Swimming;;Laceratons to right leg & foot;N;Unknown
41;18-Feb-2018;;Provoked;AUSTRALIA;Kayak fishing for sharks;;Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT;N;Unknown
42;15-Feb-2018;;Unprovoked;AUSTRALIA;Walking;;Puncture wounds to leff foot & lower leg;N;Afternoon
43;14-Feb-2018;;Invalid;AUSTRALIA;Swimming;;Collision / No injury, no attack;N;Evening
44;11-Feb-2018;;Invalid;BRAZIL;Cleaning fish;;Lacerations to 4 toes of right foot;N;Unknown
45;03-Feb-2018;;Unprovoked;ECUADOR;Snorkeling;;Injuries to right foot;N;Unknown
46;01-Feb-2018;;Invalid;AUSTRALIA;Spearfishing;;"No injury no attack. This is considerd an ""encounter""";N;Unknown
47;28-Jan-2018;;Unprovoked;AUSTRALIA;;;Injuries to right leg;N;Morning
48;21-Jan-2018;;Unprovoked;NEW CALEDONIA;Spearfishing;;Injuries to abdomen and arm;N;Afternoon
49;14-Jan-2018;;Unprovoked;AUSTRALIA;Diving;;Severe laceration to left forearm;N;Afternoon
50;13-Jan-2018;;Unprovoked;AUSTRALIA;Free diving;;No injury, shark took his swimfin;N;Unknown
51;12-Jan-2018;;Unprovoked;BRAZIL;Surfing;;Minor injury to left forearm;N;Unknown
52;05-Jan-2018;;Unprovoked;AUSTRALIA;Surfing;;Foot bitten;N;Unknown
53;31-Dec-2017;;Unprovoked;USA;Surfing;;Severe lacerations to left thigh & knee;N;Evening
54;30-Dec-2017;;Unprovoked;USA;Surfing;;Foot bitten;N;Afternoon
55;21-Dec-2017;;Provoked;MALAYSIA;Fishing / Wading;;Minor injury to thigh, PROVOKED INCIDENT;N;Unknown
56;09-Dec-2017;;Unprovoked;BAHAMAS;Snorkeling;;Minor injury to arm;N;Unknown
57;30-Nov-2017;;Unprovoked;COSTA RICA;Scuba Diving;;Serious injury to leg;N;Unknown
58;30-Nov-2017;;Unprovoked;COSTA RICA;Scuba diving;;FATAL;Y;Unknown
59;Reported 25-Nov-2017;;Sea Disaster;LIBYA;2 boats capsized;;FATAL;Y;Unknown
60;24-Nov-2017;;Unprovoked;USA;Spearfishing;;Right leg bitten;N;Afternoon
61;18-Nov-2017;;Unprovoked;USA;Surfing;;Heel bitten;N;Unknown
62;Reported 13-Nov-2017;;Unprovoked;UNKNOWN;Surfing;;Puncture wounds to feet;N;Unknown
63;13-Nov-2017;;Unprovoked;AUSTRALIA;Surfing;;Puncture wounds to left shoulder;N;Afternoon
64;04-Nov-2017;;Unprovoked;CUBA;Night bathing;;FATAL;Y;Night
65;Reported 31-Oct-2017;;Unprovoked;AUSTRALIA;Snorkeling;;Calf injured;N;Unknown
66;28-Oct-2017;;Unprovoked;AUSTRALIA;Surfing;;Minor injury to foot;N;Morning
67;26-Oct-2017;;Unprovoked;USA;Stand-Up Paddleboarding;;No injury but shark bit SUP;N;Afternoon
68;23-Oct-2017;;Unprovoked;MAURITIUS;Swimming;;Minor injury to foot;N;Unknown
69;23-Oct-2017;;Unprovoked;USA;Surfing ;;Lacerations to left foot;N;Evening
70;23-Oct-2017;;Unprovoked;USA;Swimming;;Severe lacerations to left hand & wrist;N;Morning
71;22-Oct-2017;;Unprovoked;AUSTRALIA;Kayaking / Fishing;;Minor injuries;N;Unknown
72;21-Oct-2017;;Unprovoked;NEW ZEALAND;Kayaking;;No injury, shark shook kayak x3 ;N;Morning
73;18-Oct-2017;;Unprovoked;USA;Swimming;;Puncture wounds & lacerations to foot;N;Afternoon
74;09-Oct-2017;;Unprovoked;USA;Surfing;;Lacerations to left hand;N;Evening
75;05-Oct-2017;;Unprovoked;USA;Snorkeling;;Abrasions;N;Afternoon
76;01-Oct-2017;;Invalid;SOUTH AFRICA;Scuba Diving;;FATAL;UNKNOWN;Unknown
77;25-Sep-2017;;Unprovoked;USA;Surfing;;Lacerations to lower left leg and foot;N;Unknown
78;25-Sep-2017;;Unprovoked;AUSTRALIA;Surfing;;No injury, board damaged by shark;N;Evening
79;24-Sep-2017;;Invalid;USA;Surfing;;Lacerations to right ankle, foot & toe;UNKNOWN;Afternoon
80;24-Sep-2017;;Unprovoked;USA;Surfing;;Laceration to upper arm;N;Afternoon
81;20-Sep-2017;;Unprovoked;USA;Surfing;;Minor lacerations to sole of left foot;N;Unknown
82;16-Sep-2017;;Unprovoked;SPAIN;Body surfing;;Lacerations to right foot;N;Unknown
83;16-Sep-2017;;Unprovoked;USA;Surfing;;Lacerations to left foot;N;Afternoon
84;15-Sep-2017;;Invalid;SOUTH AFRICA;Scuba Diving;;FATAL, but death was probably due to drowning;UNKNOWN;Unknown
85;15-Sep-2017;;UNKNOWN;SAMOA;Fishing;;Injuries to hands and legs;N;Unknown
86;Sep-2017;;Boat;AUSTRALIA;Fishing;;sharks rammed boats, no injury to occupants;N;Unknown
87;13-Sep-2017;;Unprovoked;USA;Surfing;;Lacerations to left foot;N;Evening
88;10-Sep-2017;;Unprovoked;AUSTRALIA;Swimming;;Minor injuries;N;Afternoon
89;10-Sep-2017;;Unprovoked;AUSTRALIA;Surfing;;Minor lacerations to right hip;N;Morning
90;Reported 06-Sep-2017;;Unprovoked;SOLOMON ISLANDS;Spearfishing;;Foot bitten;N;Unknown
91;03-Sep-2017;;Unprovoked;SOUTH AFRICA;Swimming, poaching abalone;;FATAL;Y;Unknown
92;03-Sep-2017;;Unprovoked;JAPAN;Surfing;;Injury to ankle & feet;N;Morning
93;02-Sep-2017;;Unprovoked;USA;Swimming;;Lacerations to abdomen;N;Unknown
94;02-Sep-2017;;Unprovoked;USA;Swimming;;Lacerations to foot;N;Unknown
95;02-Sep-2017;;Unprovoked;USA;Surfing;;Minor injury to right hand;N;Morning
96;29-Aug-2017;;Unprovoked;AUSTRALIA;Surfing;;No injury, board bitten;N;Morning
97;27-Aug-2017;;Unprovoked;USA;Wading;;Leg injured;N;Afternoon
98;26-Aug-2017;;Invalid;SPAIN;Swimming;;Lacerations to left foot;UNKNOWN;Unknown
99;26-Aug-2017;;Unprovoked;NEW ZEALAND;Canoeing;;No injury, shark bit canoe;N;Unknown
100;23-Aug-2017;;Unprovoked;USA;SUP;;Not injured by shark but board bitten;N;Morning
101;18-Aug-2017;;Unprovoked;BAHAMAS;Spearfishing;;Hand injured;N;Afternoon
102;10-Aug-2017;;Unprovoked;USA;Swimming;;Minor cuts to sole & toes of left foot;N;Afternoon
103;05-Aug-2017;;Unprovoked;EGYPT;Snorkeling;;Bite to right leg/hip;N;Unknown
104;03-Aug-2017;;Provoked;USA;Fishing;;Foot bitten by landed shark PROVOKED INCIDENT;N;Night
105;01-Aug-2017;;Boat;USA;Kayaking / Fishing;;No injury, bow of kayak bitten;N;Morning
106;31-Jul-2017;;Unprovoked;USA;Skimboarding;;Lacerations to lower leg;N;Evening
107;29-Jul-2017;;Invalid;USA;Swimming;;Abrasions and cuts to sole of foot;UNKNOWN;Afternoon
108;29-Jul-2017;;Unprovoked;USA;;;Bite to left thigh / minor injury;N;Unknown
109;27-Jul-2017;;Unprovoked;BAHAMAS;Snorkeling;;Foot & ankle injured;N;Unknown
110;Reported 26-Jul-2017;;Unprovoked;BAHAMAS;Spearfishing;;Severe lacerations to left hand;N;Unknown
111;24-Jul-2017;;Unprovoked;ST HELENA, British overseas territory;Surfing;;Torso bitten;N;Evening
112;23-Jul-2017;;Unprovoked;USA;;;Minor injury to hand;N;Unknown
113;23-Jul-2017;;Unprovoked;SPAIN;Swimming;;Abrasion to arm from shark's rough skin;N;Unknown
114;22-Jul-2017;;Unprovoked;USA;;;Foot bitten;N;Afternoon
115;20-Jul-2017;;Invalid;USA;Swimming;;Foot injured;UNKNOWN;Unknown
116;20-Jul-2017;;Boat;USA;Kayaking;;No injury, kayak bitten;N;Morning
117;20-Jul-2017;;Unprovoked;USA;SUP;;No injury, shark bit paddleboard;N;Morning
118;14-Jul-2017;;Unprovoked;USA;Surfing;;Pulled off board by shark but no injury;N;Evening
119;14-Jul-2017;;Unprovoked;AUSTRALIA;Surfing;;Minor injury, grazed by shark;N;Morning
120;11-Jul-2017;;Boat;USA;Kayaking;;No injury, kayak bitten;N;Morning
121;09-Jul-2017;;Unprovoked;USA;Swimming;;Lower legs bitten;N;Afternoon
122;Reported 07-Jul-2017;;Provoked;MEXICO;Fishing;;Hand bitten by hooked shark PROVOKED INCIDENT;N;Unknown
123;07-Jul-2017;;Unprovoked;SOUTH AFRICA;Surfing;;No injury, shark bit surfboard;N;Afternoon
124;02-Jul-2017;;Invalid;COMOROS;Fishing;;Skull found in shark, a probable drowning & scavenging;UNKNOWN;Unknown
125;29-Jun-2017;;Invalid;USA;Fishing;;Arm injured by hook, not by a shark;UNKNOWN;Evening
126;21-Jun-2017;;Unprovoked;USA;Swimming;;Left foot bitten;N;Unknown
127;19-Jun-2017;;Unprovoked;USA;Surfing;;1 to 2-inch laceration behind knee;N;Unknown
128;18-Jun-2017;;Unprovoked;USA;Swimming;;Leg bitten;N;Unknown
129;18-Jun-2017;;Unprovoked;REUNION;Body boarding;;No injury, shark bit surfboard ;N;Morning
130;17-Jun-2017;;Unprovoked;SPAIN;Swimming;;2-inch laceration to hand;N;Afternoon
131;2017.06.05;;Unprovoked;FRENCH POLYNESIA;Surfing;;Injuries to hand and wrist;N;Unknown
132;Reported 14-Jun-2017;;Unprovoked;BAHAMAS;Feeding sharks;;Fingernail pulled off ;N;Unknown
133;11-Jun-2017;;Unprovoked;AUSTRALIA;Body boarding;;No injury, board bitten;N;Morning
134;10-Jun-2017;;Unprovoked;AUSTRALIA;Surfing;;No injury, knocked off board;N;Afternoon
135;10-Jun-2017;;Unprovoked;USA;Surfing;;Laceration to left foot;N;Morning
136;Reported 07-Jun-2017;;Unprovoked;UNITED KINGDOM;Surfing ;;Bruise to leg, cuts to hand sustained when he hit the shark;N;Unknown
137;04-Jun-2017;;Unprovoked;USA;Spearfishing;;Laceration to shin;N;Unknown
138;02-Jun-2017;;Unprovoked;BAHAMAS;Snorkeling;;Right forearm severed ;N;Unknown
139;30-May-2017;;Provoked;USA;Touching a shark;;Right hand bitten by hooked shark PROVOKED INCIDENT;N;Unknown
140;28-May-2017;;Unprovoked;USA;Feeding sharks;;Lacerations to right arm;N;Unknown
141;27-May-2017;;Invalid;AUSTRALIA;Fishing ;;Abrasion to right forearm from pectoral fin of a shark that leapt into his boat;N;Unknown
142;12-May-2017;;Unprovoked;UNITED ARAB EMIRATES;Spearfishing;;Right leg severely bitten;N;Unknown
143;Reported 06-May-2017;;Provoked;AUSTRALIA;Attempting to lasso a shark;;Thigh nipped PROVOKED INCIDENT;N;Unknown
144;05-May-2017;;Unprovoked;MEXICO;Snorkeling;;FATAL;Y;Evening
145;03-May-2017;;Invalid;USA;Surfing;;Laceration to thigh, likely caused by surfboard fin;UNKNOWN;Afternoon
146;29-Apr-2017;;Unprovoked;USA;Swimming;;Major injury to posterior thigh;N;Evening
147;29-Apr-2017;;Unprovoked;SOUTH AFRICA;Surfing;;Minor injury to right calf;N;Evening
148;29-Apr-2017;;Unprovoked;USA;Surfing;;Left foot bitten;N;Morning
149;29-Apr-2017;;Unprovoked;REUNION;Body boarding;;FATAL;Y;Morning
150;27-Apr-2017;;Unprovoked;NEW ZEALAND;Body boarding;;Puncture wounds & laceration above knee;N;Afternoon
151;26-Apr-2017;;Invalid;USA;Photo shoot;;Alleged laceration to left ankle;UNKNOWN;Unknown
152;22-Apr-2017;;Unprovoked;ST HELENA, British overseas territory;Snorkeling;;Calf & foot bitten;N;Afternoon
153;20-Apr-2017;;Invalid;USA;Swimming;;Laceration & puncture wounds to left foot;UNKNOWN;Morning
154;17-Apr-2017;;Unprovoked;USA;;;Minor bite to the foot;N;Unknown
155;17-Apr-2017;;Unprovoked;AUSTRALIA;Surfing;;FATAL;Y;Afternoon
156;14-Apr-2017;;Unprovoked;USA;Surfing;;Lower right leg severely injured;N;Morning
157;13-Apr-2017;;Unprovoked;USA;Surfing;;Lacerations to right foot;N;Afternoon
158;12-Apr-2017;;Unprovoked;USA;Surfing;;Lacerations to right foot;N;Afternoon
159;12-Apr-2017;;Invalid;SOUTH AFRICA;Scuba Diving;;Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.;UNKNOWN;Unknown
160;11-Apr-2017;;Unprovoked;USA;Surfing;;Calf bitten;N;Afternoon
161;10-Apr-2017;;Unprovoked;USA;Paddle boarding;;Laceration to calf;N;Evening
162;10-Apr-2017;;Unprovoked;USA;Swimming;;Minor injury to left hand;N;Evening
163;06-Apr-2017;;Unprovoked;USA;Swimming;;Foot injured;N;Unknown
164;05-Apr-2017;;Unprovoked;USA;Swimming;;Thigh nipped, minor injury;N;Afternoon
165;02-Apr-2017;;Unprovoked;AUSTRALIA;Kakaying;;No injury, shark bit off stern of kayak;N;Unknown
166;02-Apr-2017;;Unprovoked;USA;Swimming;;Lacerations to thighs;N;Afternoon
167;27-Mar-2017;;Unprovoked;USA;Surfing;;Minor injury to left foot;N;Morning
168;19-Mar-2017;;Unprovoked;AUSTRALIA;Body boarding;;Minor;N;Evening
169;18-Mar-2017;;Boat;USA;Kayaking;;No injury, kayak bitten;N;Afternoon
170;11-Mar-2017;;Unprovoked;PHILIPPINES;Spearfishing;;Right thigh injured ;N;Unknown
171;Reported 09-Mar-2017;;Unprovoked;BAHAMAS;Washing hands;;Abrasions & lacerations to left leg and hand;N;Unknown
172;25-Feb-2017;;Unprovoked;AUSTRALIA;Snorkeling;;Hand bitten;N;Unknown
173;24-Feb-2017;;Unprovoked;AUSTRALIA;Surfing;;No injury, shark struck board;N;Unknown
174;21-Feb-2017;;Unprovoked;REUNION;Body boarding;;Fatal;Y;Morning
175;17-Feb-2017;;Unprovoked;AUSTRALIA;Spearfishing;;Left leg severely bitten;N;Morning
176;11-Feb-2017;;Unprovoked;USA;Swimming;;Injury to hand;N;Afternoon
177;06-Feb-2017;;Provoked;BRAZIL;Grabbing shark for a selfie;;Minor injury to finger, PROVOKED INCIDENT;N;Unknown
178;06-Feb-2017;;Boat;SOUTH AFRICA;Kayak fishing;;Shark damaged kayak, no injury to occupant;N;Unknown
179;01-Feb-2017;;Boat;USA;Tagging sharks;;Shark bit boat, no injury to occupants;N;Unknown
180;01-Feb-2017;;Unprovoked;BAHAMAS;Scuba Diving;;Lacerations to upper right arm;N;Unknown
181;24-Jan-2017;;Unprovoked;BRAZIL;Swimming;;Minor laceration to ring finger;N;Afternoon
182;22-Jan-2017;;Unprovoked;USA;;;Puncture wounds to lower arm or hand;N;Afternoon
183;21-Jan-2017;;Unprovoked;AUSTRALIA;Scuba Diving;;Multiple injuries to arm, wrist and torso;N;Afternoon
184;13-Jan-2017;;Unprovoked;AUSTRALIA;Swimming;;Injury to hand;N;Afternoon
185;13-Jan-2017;;Unprovoked;USA;;;Minor injury to hand;N;Unknown
186;09-Jan-2017;;Unprovoked;INDONESIA;Surfing;;Injury to right wrist & forearm;N;Morning
187;Reported 08-Jan-2017;;Invalid;AUSTRALIA;Spearfishing;;No attack, shark made a threat display;UNKNOWN;Unknown
188;05-Jan-2017;;Unprovoked;USA;Wading;;Minor injuries to foot;N;Afternoon
189;03-Jan-2017;;Invalid;AUSTRALIA;Wading;;Minor injuries to foot & toes;UNKNOWN;Evening
190;27-Dec-2016;;Unprovoked;USA;Surfing;;Lacerations to right forearm;N;Evening
191;24-Dec-2016;;Unprovoked;AUSTRALIA;Snorkeling;;Buttock bitten;N;Unknown
192;19-Dec-2016;;Unprovoked;SOUTH AFRICA;Surf skiing ;;No injury, but ski severely damaged;N;Morning
193;14-Dec-2016;;Unprovoked;AUSTRALIA;Free diving;;Punctures to left foot/ankle;N;Morning
194;11-Dec-2016;;Unprovoked;FRENCH POLYNESIA;Fishing;;Hand injured?;N;Unknown
195;11-Dec-2016;;Invalid;USA;Surfing;;Cuts to right ankle & foot;UNKNOWN;Unknown
196;06-Dec-2016;;Provoked;AUSTRALIA;Surf fishing;;Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT;N;Night
197;01-Dec-2016;;Unprovoked;AUSTRALIA;Surfing;;Injuries to foot & arm;N;Morning
198;28-Nov-2016;;Provoked;AUSTRALIA;Fishing;;Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT;N;Morning
199;14-Nov-2016;;Unprovoked;USA;Floating;;Injuries to right calf and thigh;N;Morning
200;30-Oct-2016;;Unprovoked;USA;Surfing;;Lacerations to right foot and ankle;N;Unknown
201;29-Oct-2016;;Unprovoked;USA;Surfing;;Lacerations to right hand;N;Unknown
202;24-Oct-2016;;Unprovoked;AUSTRALIA;Surfing;;Lacerations to left thigh;N;Morning
203;21-Oct-2016;;Unprovoked;USA;Surfing;;Left arm and leg injured;N;Evening
204;15-Oct-2016;;Unprovoked;AUSTRALIA;Surfing;;Torso nipped;N;Evening
205;14-Oct-2016;;Unprovoked;USA;Snorkeling;;Injuries to left calf;N;Morning
206;13-Oct-2016;;Invalid;MEXICO;Cage Diving;;Shark breached cage, no injury to diver;UNKNOWN;Unknown
207;12-Oct-2016;;Unprovoked;AUSTRALIA;Surfing;;Minor wound to lower right leg & surfboard bitten;N;Morning
208;10-Oct-2016;;Unprovoked;USA;Surfing;;Wounds to upper thigh and lower leg;N;Afternoon
209;02-Oct-2016;;Unprovoked;USA;Surfing;;Cuts to dorsal surface of left foot;N;Morning
210;01-Oct-2016;;Unprovoked;USA;Surfng;;Minor injuries;N;Evening
211;26-Sep-2016;;Unprovoked;AUSTRALIA;Surfing;;4 deep lacerations to thigh;N;Unknown
212;18-Sep-2016;;Unprovoked;USA;Surfing;;Minor injury to thigh;N;Afternoon
213;18-Sep-2016;;Unprovoked;USA;Surfing;;Lacerations to hands;N;Morning
214;18-Sep-2016;;Unprovoked;USA;Surfing;;Lacerations to lower leg;N;Morning
215;17-Sep-2016;;Unprovoked;USA;Surfing;;No injury, board bitten;N;Unknown
216;17-Sep-2016;;Unprovoked;AUSTRALIA;Surfing;;Struck by fin on chest & leg;N;Unknown
217;16-Sep-2016;;Unprovoked;AUSTRALIA;Surfing;;No injury: Knocked off board by shark;N;Unknown
218;15-Sep-2016;;Boat;AUSTRALIA;Fishing;;Shark rammed boat. No injury to occupant;N;Unknown
219;11-Sep-2016;;Unprovoked;USA;Wading;;Minor injury to arm;N;Afternoon
220;07-Sep-2016;;Unprovoked;USA;Swimming;;Severe lacerations to shoulder & forearm;N;Afternoon
221;06-Sep-2016;;Unprovoked;NEW CALEDONIA;Kite surfing;;FATAL;Y;Afternoon
222;05-Sep-2016;;Unprovoked;USA;Boogie boarding;;Lacerations & punctures to lower right leg;N;Unknown
223;05-Sep-2016;;Unprovoked;AUSTRALIA;Surfing;;No inury, board broken in half by shark;N;Unknown
224;04-Sep-2016;;Unprovoked;USA;Body boarding;;Foot bitten;N;Unknown
225;01-Sep-2016;;Unprovoked;USA;Spearfishing;;Two toes broken & lacerated;N;Unknown
226;Sep-2016;;Invalid;MEXICO;Cage Diving;;No injury to divers, white shark breached cage;UNKNOWN;Unknown
227;29-Aug-2016;;Unprovoked;USA;Surfing;;Lacerations to right foot;N;Afternoon
228;29-Aug-2016;;Unprovoked;USA;Surfing;;Minor injury to ankle;N;Afternoon
229;27-Aug-2016;;Unprovoked;REUNION;Surfing;;Right arm severed, ankle severely bitten ;N;Evening
230;25-Aug-2016;;Unprovoked;USA;Wading;;Minor injury to ankle;N;Afternoon
231;07-Aug-2016;;Unprovoked;BAHAMAS;Snorkeling;;Lacerations to left leg;N;Unknown
232;06-Aug-2016;;Unprovoked;USA;SUP Foil boarding;;No inury, shark & board collided;N;Afternoon
233;04-Aug-2016;;Unprovoked;USA;Surfing;;Big toe bitten;N;Unknown
234;29-Jul-2016;;Unprovoked;SPAIN;Swimming;;Lacerations to right hand;N;Morning
235;28-Jul-2016;;Unprovoked;CHINA;Swimming;;Lacerations to leg;N;Unknown
236;28-Jul-2016;;Boat;AUSTRALIA;Kayaking;;No injury, shark nudged kayak repeatedly;N;Unknown
237;27-Jul-2016;;Provoked;USA;Lobstering;;Laceration to left forearm PROVOKED INCIDENT;N;Unknown
238;26-Jul-2016;;Unprovoked;AUSTRALIA;Surfing;;No injury. Leg rope severed, knocked off board by shark;N;Afternoon
239;24-Jul-2016;;Unprovoked;JAPAN;Surfing;;Lacerations to left leg;N;Evening
240;23-Jul-2016;;Unprovoked;AUSTRALIA;Surfing;;Calf bumped but no injury;N;Unknown
241;23-Jul-2016;;Unprovoked;BAHAMAS;Spearfishing;;Lacerations to face and right leg;N;Unknown
242;20-Jul-2016;;Provoked;AUSTRALIA;Fishing;;Laceration to left calf from hooked shark PROVOKED INCIDENT;N;Unknown
243;17-Jul-2016;;Boat;USA;Fishing in Alabama Deep Fishing Rodeo;;No injury, shark bit trolling motor;N;Unknown
244;16-Jul-2016;;Unprovoked;USA;Surfing;;Minor injury to leg;N;Night
245;16-Jul-2016;;Unprovoked;USA;;;Minor injury to toes;N;Morning
246;15-Jul-2016;;Unprovoked;USA;Kite surfing;;No injury, board damaged;N;Evening
247;15-Jul-2016;;Unprovoked;USA;Swimming;;Puncture wounds to foot;N;Unknown
248;Reported  14-Jul-2016;;Unprovoked;BAHAMAS;Scuba Diving;;Face bruised when partly blind shark collided with him;N;Unknown
249;Reported 08-Jul-2016;;Unprovoked;SPAIN;Wading;;5 tiny puncture marks to lower leg, treated with hydrogen peroxide;N;Unknown
250;08-Jul-2016;;Boat;USA;Fishing for squid;;No injury. Hull bitten, tooth fragment recovered;N;Unknown
251;07-Jul-2016;;Provoked;USA;Fishing;;Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT;N;Morning
252;07-Jul-2016;;Boat;USA;Fishing for sharks;;No injury. Hull bitten, tooth fragment recovered;N;Unknown
253;06-Jul-2016;;Unprovoked;USA;Swimming;;Buttocks, thigh, left hand & wrist injured;N;Unknown
254;04-Jul-2016;;Provoked;AUSTRALIA;Fishing;;Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT;N;Night
255;27-Jun-2016;;Unprovoked;USA;;;Minor injury;N;Afternoon
256;25-Jun-2016;;Unprovoked;USA;Surfing;;Foot injured;N;Afternoon
257;24-Jun-2016;;Unprovoked;COLUMBIA;Scuba Diving;;Severe bite to right hand;N;Morning
258;23-Jun-2016;;Unprovoked;SOUTH AFRICA;Spearfishing;;Injuries to left leg & right hand;N;Unknown
259;21-Jun-2016;;Unprovoked;USA;Floating;;Lacerations and punctures to foot;N;Afternoon
260;21-Jun-2016;;Unprovoked;USA;Wading;;Injuries to right calf;N;Afternoon
261;15-Jun-2016;;Unprovoked;USA;Surfing;;Single puncture wound to arm;N;Morning
262;15-Jun-2016;;Provoked;AUSTRALIA;Spearfishing;;No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT;N;Unknown
263;14-Jun-2016;;Unprovoked;USA;Floating in tube;;Injury to lower leg;N;Evening
264;11-Jun-2016;;Unprovoked;USA;Standing;;Laceration to wrist;N;Afternoon
265;07-Jun-2016;;Invalid;USA;Surfing;;No injury, board damaged;UNKNOWN;Morning
266;05-Jun-2016;;Unprovoked;USA;Swimming;;Leg bitten;N;Morning
267;05-Jun-2016;;Unprovoked;AUSTRALIA;Diving;;FATAL;Y;Morning
268;04-Jun-2016;;Unprovoked;EGYPT;Swimming;;Leg severely bitten, surgically amputated;N;Unknown
