,Date,year,type,country,activity,sex,injury,fatal_boolean,time
26,15-Apr-2018,,Unprovoked,THAILAND,Swimming,,Lacerations to foot and ankle,,Unknown
27,15-Apr-2018,,Unprovoked,BRAZIL,Swimming,,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,Unknown
28,15-Apr-2018,,Unprovoked,AUSTRALIA,Surfing,,Laceration to right thigh,,Unknown
29,15-Apr-2018,,Unprovoked,AUSTRALIA,Surfing,,Lacerations to legs,,Morning
30,14-Apr-2018,,Unprovoked,BAHAMAS,Surfing,,No Injury. Shark swam away with the surf board,,Morning
31,Reported 10-Apr-2018,,Invalid,BRAZIL,Fishing,,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,,Unknown
32,09-Apr-2018,,Unprovoked,NEW CALEDONIA,Windsurfing,,"No injury, shark bit board",,Evening
33,05-Apr-2018,,Unprovoked,BAHAMAS,Swimming,,"2 puncture wounds to left foot, abrasion to right foot",,Evening
34,03-Apr-2018,,Unprovoked,SOUTH AFRICA,Surfing,,Lacerations to left knee & lower leg,,Afternoon
35,31-Mar-2018,,Unprovoked,USA,Stand-Up Paddleboarding,,Injuries to right leg & hand,,Morning
36,14-Mar-2018,,Unprovoked,AUSTRALIA,Wading,,Minor injuries to legs,,Evening
37,9-Mar-2018,,Unprovoked,AUSTRALIA,Swimming,,"No injury, said to have been charged by sharks several times",,Afternoon
38,9-Mar-2018,,Unprovoked,AUSTRALIA,Surfing,,"Minor injury, ankle grazed",,Morning
39,24-Feb-2018,,Unprovoked,SOUTH AFRICA,Scuba Diving,, The shark & man simply collided; neither were injured,,Unknown
40,23-Feb-2018,,Unprovoked,AUSTRALIA,Swimming,,Laceratons to right leg & foot,,Unknown
41,18-Feb-2018,,Provoked,AUSTRALIA,Kayak fishing for sharks,,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",,Unknown
42,15-Feb-2018,,Unprovoked,AUSTRALIA,Walking,,Puncture wounds to leff foot & lower leg,,Afternoon
43,14-Feb-2018,,Invalid,AUSTRALIA,Swimming,,"Collision / No injury, no attack",,Evening
44,11-Feb-2018,,Invalid,BRAZIL,Cleaning fish,,Lacerations to 4 toes of right foot,,Unknown
45,03-Feb-2018,,Unprovoked,ECUADOR,Snorkeling,,Injuries to right foot,,Unknown
46,01-Feb-2018,,Invalid,AUSTRALIA,Spearfishing,,"No injury no attack. This is considerd an ""encounter""",,Unknown
47,28-Jan-2018,,Unprovoked,AUSTRALIA,,,Injuries to right leg,,Morning
48,21-Jan-2018,,Unprovoked,NEW CALEDONIA,Spearfishing,,Injuries to abdomen and arm,,Afternoon
49,14-Jan-2018,,Unprovoked,AUSTRALIA,Diving,,Severe laceration to left forearm,,Afternoon
50,13-Jan-2018,,Unprovoked,AUSTRALIA,Free diving,,"No injury, shark took his swimfin",,Unknown
51,12-Jan-2018,,Unprovoked,BRAZIL,Surfing,,Minor injury to left forearm,,Unknown
52,05-Jan-2018,,Unprovoked,AUSTRALIA,Surfing,,Foot bitten,,Unknown
53,31-Dec-2017,,Unprovoked,USA,Surfing,,Severe lacerations to left thigh & knee,,Evening
54,30-Dec-2017,,Unprovoked,USA,Surfing,,Foot bitten,,Afternoon
55,21-Dec-2017,,Provoked,MALAYSIA,Fishing / Wading,,"Minor injury to thigh, PROVOKED INCIDENT",,Unknown
56,09-Dec-2017,,Unprovoked,BAHAMAS,Snorkeling,,Minor injury to arm,,Unknown
57,30-Nov-2017,,Unprovoked,COSTA RICA,Scuba Diving,,Serious injury to leg,,Unknown
58,30-Nov-2017,,Unprovoked,COSTA RICA,Scuba diving,,FATAL,,Unknown
59,Reported 25-Nov-2017,,Sea Disaster,LIBYA,2 boats capsized,,FATAL,,Unknown
60,24-Nov-2017,,Unprovoked,USA,Spearfishing,,Right leg bitten,,Afternoon
61,18-Nov-2017,,Unprovoked,USA,Surfing,,Heel bitten,,Unknown
62,Reported 13-Nov-2017,,Unprovoked,UNKNOWN,Surfing,,Puncture wounds to feet,,Unknown
63,13-Nov-2017,,Unprovoked,AUSTRALIA,Surfing,,Puncture wounds to left shoulder,,Afternoon
64,04-Nov-2017,,Unprovoked,CUBA,Night bathing,,FATAL,,Night
65,Reported 31-Oct-2017,,Unprovoked,AUSTRALIA,Snorkeling,,Calf injured,,Unknown
66,28-Oct-2017,,Unprovoked,AUSTRALIA,Surfing,,Minor injury to foot,,Morning
67,26-Oct-2017,,Unprovoked,USA,Stand-Up Paddleboarding,,No injury but shark bit SUP,,Afternoon
68,23-Oct-2017,,Unprovoked,MAURITIUS,Swimming,,Minor injury to foot,,Unknown
69,23-Oct-2017,,Unprovoked,USA,Surfing ,,Lacerations to left foot,,Evening
70,23-Oct-2017,,Unprovoked,USA,Swimming,,Severe lacerations to left hand & wrist,,Morning
71,22-Oct-2017,,Unprovoked,AUSTRALIA,Kayaking / Fishing,,Minor injuries,,Unknown
72,21-Oct-2017,,Unprovoked,NEW ZEALAND,Kayaking,,"No injury, shark shook kayak x3 ",,Morning
73,18-Oct-2017,,Unprovoked,USA,Swimming,,Puncture wounds & lacerations to foot,,Afternoon
74,09-Oct-2017,,Unprovoked,USA,Surfing,,Lacerations to left hand,,Evening
75,05-Oct-2017,,Unprovoked,USA,Snorkeling,,Abrasions,,Afternoon
76,01-Oct-2017,,Invalid,SOUTH AFRICA,Scuba Diving,,FATAL,,Unknown
77,25-Sep-2017,,Unprovoked,USA,Surfing,,Lacerations to lower left leg and foot,,Unknown
78,25-Sep-2017,,Unprovoked,AUSTRALIA,Surfing,,"No injury, board damaged by shark",,Evening
79,24-Sep-2017,,Invalid,USA,Surfing,,"Lacerations to right ankle, foot & toe",,Afternoon
80,24-Sep-2017,,Unprovoked,USA,Surfing,,Laceration to upper arm,,Afternoon
81,20-Sep-2017,,Unprovoked,USA,Surfing,,Minor lacerations to sole of left foot,,Unknown
82,16-Sep-2017,,Unprovoked,SPAIN,Body surfing,,Lacerations to right foot,,Unknown
83,16-Sep-2017,,Unprovoked,USA,Surfing,,Lacerations to left foot,,Afternoon
84,15-Sep-2017,,Invalid,SOUTH AFRICA,Scuba Diving,,"FATAL, but death was probably due to drowning",,Unknown
85,15-Sep-2017,,Invalid,SAMOA,Fishing,,Injuries to hands and legs,,Unknown
86,Sep-2017,,Boat,AUSTRALIA,Fishing,,"sharks rammed boats, no injury to occupants",,Unknown
87,13-Sep-2017,,Unprovoked,USA,Surfing,,Lacerations to left foot,,Evening
88,10-Sep-2017,,Unprovoked,AUSTRALIA,Swimming,,Minor injuries,,Afternoon
89,10-Sep-2017,,Unprovoked,AUSTRALIA,Surfing,,Minor lacerations to right hip,,Morning
90,Reported 06-Sep-2017,,Unprovoked,SOLOMON ISLANDS,Spearfishing,,Foot bitten,,Unknown
91,03-Sep-2017,,Unprovoked,SOUTH AFRICA,"Swimming, poaching abalone",,FATAL,,Unknown
92,03-Sep-2017,,Unprovoked,JAPAN,Surfing,,Injury to ankle & feet,,Morning
93,02-Sep-2017,,Unprovoked,USA,Swimming,,Lacerations to abdomen,,Unknown
94,02-Sep-2017,,Unprovoked,USA,Swimming,,Lacerations to foot,,Unknown
95,02-Sep-2017,,Unprovoked,USA,Surfing,,Minor injury to right hand,,Morning
96,29-Aug-2017,,Unprovoked,AUSTRALIA,Surfing,,"No injury, board bitten",,Morning
97,27-Aug-2017,,Unprovoked,USA,Wading,,Leg injured,,Afternoon
98,26-Aug-2017,,Invalid,SPAIN,Swimming,,Lacerations to left foot,,Unknown
99,26-Aug-2017,,Unprovoked,NEW ZEALAND,Canoeing,,"No injury, shark bit canoe",,Unknown
100,23-Aug-2017,,Unprovoked,USA,SUP,,Not injured by shark but board bitten,,Morning
101,18-Aug-2017,,Unprovoked,BAHAMAS,Spearfishing,,Hand injured,,Afternoon
102,10-Aug-2017,,Unprovoked,USA,Swimming,,Minor cuts to sole & toes of left foot,,Afternoon
103,05-Aug-2017,,Unprovoked,EGYPT,Snorkeling,,Bite to right leg/hip,,Unknown
104,03-Aug-2017,,Provoked,USA,Fishing,,Foot bitten by landed shark PROVOKED INCIDENT,,Night
105,01-Aug-2017,,Boat,USA,Kayaking / Fishing,,"No injury, bow of kayak bitten",,Morning
106,31-Jul-2017,,Unprovoked,USA,Skimboarding,,Lacerations to lower leg,,Evening
107,29-Jul-2017,,Invalid,USA,Swimming,,Abrasions and cuts to sole of foot,,Afternoon
108,29-Jul-2017,,Unprovoked,USA,,,Bite to left thigh / minor injury,,Unknown
109,27-Jul-2017,,Unprovoked,BAHAMAS,Snorkeling,,Foot & ankle injured,,Unknown
110,Reported 26-Jul-2017,,Unprovoked,BAHAMAS,Spearfishing,,Severe lacerations to left hand,,Unknown
111,24-Jul-2017,,Unprovoked,"ST HELENA, British overseas territory",Surfing,,Torso bitten,,Evening
112,23-Jul-2017,,Unprovoked,USA,,,Minor injury to hand,,Unknown
113,23-Jul-2017,,Unprovoked,SPAIN,Swimming,,Abrasion to arm from shark's rough skin,,Unknown
114,22-Jul-2017,,Unprovoked,USA,,,Foot bitten,,Afternoon
115,20-Jul-2017,,Invalid,USA,Swimming,,Foot injured,,Unknown
116,20-Jul-2017,,Boat,USA,Kayaking,,"No injury, kayak bitten",,Morning
117,20-Jul-2017,,Unprovoked,USA,SUP,,"No injury, shark bit paddleboard",,Morning
118,14-Jul-2017,,Unprovoked,USA,Surfing,,Pulled off board by shark but no injury,,Evening
119,14-Jul-2017,,Unprovoked,AUSTRALIA,Surfing,,"Minor injury, grazed by shark",,Morning
120,11-Jul-2017,,Boat,USA,Kayaking,,"No injury, kayak bitten",,Morning
121,09-Jul-2017,,Unprovoked,USA,Swimming,,Lower legs bitten,,Afternoon
122,Reported 07-Jul-2017,,Provoked,MEXICO,Fishing,,Hand bitten by hooked shark PROVOKED INCIDENT,,Unknown
123,07-Jul-2017,,Unprovoked,SOUTH AFRICA,Surfing,,"No injury, shark bit surfboard",,Afternoon
124,02-Jul-2017,,Invalid,COMOROS,Fishing,,"Skull found in shark, a probable drowning & scavenging",,Unknown
125,29-Jun-2017,,Invalid,USA,Fishing,,"Arm injured by hook, not by a shark",,Evening
126,21-Jun-2017,,Unprovoked,USA,Swimming,,Left foot bitten,,Unknown
127,19-Jun-2017,,Unprovoked,USA,Surfing,,1 to 2-inch laceration behind knee,,Unknown
128,18-Jun-2017,,Unprovoked,USA,Swimming,,Leg bitten,,Unknown
129,18-Jun-2017,,Unprovoked,REUNION,Body boarding,,"No injury, shark bit surfboard ",,Morning
130,17-Jun-2017,,Unprovoked,SPAIN,Swimming,,2-inch laceration to hand,,Afternoon
131,2017.06.05,,Unprovoked,FRENCH POLYNESIA,Surfing,,Injuries to hand and wrist,,Unknown
132,Reported 14-Jun-2017,,Unprovoked,BAHAMAS,Feeding sharks,,Fingernail pulled off ,,Unknown
133,11-Jun-2017,,Unprovoked,AUSTRALIA,Body boarding,,"No injury, board bitten",,Morning
134,10-Jun-2017,,Unprovoked,AUSTRALIA,Surfing,,"No injury, knocked off board",,Afternoon
135,10-Jun-2017,,Unprovoked,USA,Surfing,,Laceration to left foot,,Morning
136,Reported 07-Jun-2017,,Unprovoked,UNITED KINGDOM,Surfing ,,"Bruise to leg, cuts to hand sustained when he hit the shark",,Unknown
137,04-Jun-2017,,Unprovoked,USA,Spearfishing,,Laceration to shin,,Unknown
138,02-Jun-2017,,Unprovoked,BAHAMAS,Snorkeling,,Right forearm severed ,,Unknown
139,30-May-2017,,Provoked,USA,Touching a shark,,Right hand bitten by hooked shark PROVOKED INCIDENT,,Unknown
140,28-May-2017,,Unprovoked,USA,Feeding sharks,,Lacerations to right arm,,Unknown
141,27-May-2017,,Invalid,AUSTRALIA,Fishing ,,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,,Unknown
142,12-May-2017,,Unprovoked,UNITED ARAB EMIRATES,Spearfishing,,Right leg severely bitten,,Unknown
143,Reported 06-May-2017,,Provoked,AUSTRALIA,Attempting to lasso a shark,,Thigh nipped PROVOKED INCIDENT,,Unknown
144,05-May-2017,,Unprovoked,MEXICO,Snorkeling,,FATAL,,Evening
145,03-May-2017,,Invalid,USA,Surfing,,"Laceration to thigh, likely caused by surfboard fin",,Afternoon
146,29-Apr-2017,,Unprovoked,USA,Swimming,,Major injury to posterior thigh,,Evening
147,29-Apr-2017,,Unprovoked,SOUTH AFRICA,Surfing,,Minor injury to right calf,,Evening
148,29-Apr-2017,,Unprovoked,USA,Surfing,,Left foot bitten,,Morning
149,29-Apr-2017,,Unprovoked,REUNION,Body boarding,,FATAL,,Morning
150,27-Apr-2017,,Unprovoked,NEW ZEALAND,Body boarding,,Puncture wounds & laceration above knee,,Afternoon
151,26-Apr-2017,,Invalid,USA,Photo shoot,,Alleged laceration to left ankle,,Unknown
152,22-Apr-2017,,Unprovoked,"ST HELENA, British overseas territory",Snorkeling,,Calf & foot bitten,,Afternoon
153,20-Apr-2017,,Invalid,USA,Swimming,,Laceration & puncture wounds to left foot,,Morning
154,17-Apr-2017,,Unprovoked,USA,,,Minor bite to the foot,,Unknown
155,17-Apr-2017,,Unprovoked,AUSTRALIA,Surfing,,FATAL,,Afternoon
156,14-Apr-2017,,Unprovoked,USA,Surfing,,Lower right leg severely injured,,Morning
157,13-Apr-2017,,Unprovoked,USA,Surfing,,Lacerations to right foot,,Afternoon
158,12-Apr-2017,,Unprovoked,USA,Surfing,,Lacerations to right foot,,Afternoon
159,12-Apr-2017,,Invalid,SOUTH AFRICA,Scuba Diving,,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,Unknown
160,11-Apr-2017,,Unprovoked,USA,Surfing,,Calf bitten,,Afternoon
161,10-Apr-2017,,Unprovoked,USA,Paddle boarding,,Laceration to calf,,Evening
162,10-Apr-2017,,Unprovoked,USA,Swimming,,Minor injury to left hand,,Evening
163,06-Apr-2017,,Unprovoked,USA,Swimming,,Foot injured,,Unknown
164,05-Apr-2017,,Unprovoked,USA,Swimming,,"Thigh nipped, minor injury",,Afternoon
165,02-Apr-2017,,Unprovoked,AUSTRALIA,Kakaying,,"No injury, shark bit off stern of kayak",,Unknown
166,02-Apr-2017,,Unprovoked,USA,Swimming,,Lacerations to thighs,,Afternoon
167,27-Mar-2017,,Unprovoked,USA,Surfing,,Minor injury to left foot,,Morning
168,19-Mar-2017,,Unprovoked,AUSTRALIA,Body boarding,,Minor,,Evening
169,18-Mar-2017,,Boat,USA,Kayaking,,"No injury, kayak bitten",,Afternoon
170,11-Mar-2017,,Unprovoked,PHILIPPINES,Spearfishing,,Right thigh injured ,,Unknown
171,Reported 09-Mar-2017,,Unprovoked,BAHAMAS,Washing hands,,Abrasions & lacerations to left leg and hand,,Unknown
172,25-Feb-2017,,Unprovoked,AUSTRALIA,Snorkeling,,Hand bitten,,Unknown
173,24-Feb-2017,,Unprovoked,AUSTRALIA,Surfing,,"No injury, shark struck board",,Unknown
174,21-Feb-2017,,Unprovoked,REUNION,Body boarding,,Fatal,,Morning
175,17-Feb-2017,,Unprovoked,AUSTRALIA,Spearfishing,,Left leg severely bitten,,Morning
176,11-Feb-2017,,Unprovoked,USA,Swimming,,Injury to hand,,Afternoon
177,06-Feb-2017,,Provoked,BRAZIL,Grabbing shark for a selfie,,"Minor injury to finger, PROVOKED INCIDENT",,Unknown
178,06-Feb-2017,,Boat,SOUTH AFRICA,Kayak fishing,,"Shark damaged kayak, no injury to occupant",,Unknown
179,01-Feb-2017,,Boat,USA,Tagging sharks,,"Shark bit boat, no injury to occupants",,Unknown
180,01-Feb-2017,,Unprovoked,BAHAMAS,Scuba Diving,,Lacerations to upper right arm,,Unknown
181,24-Jan-2017,,Unprovoked,BRAZIL,Swimming,,Minor laceration to ring finger,,Afternoon
182,22-Jan-2017,,Unprovoked,USA,,,Puncture wounds to lower arm or hand,,Afternoon
183,21-Jan-2017,,Unprovoked,AUSTRALIA,Scuba Diving,,"Multiple injuries to arm, wrist and torso",,Afternoon
184,13-Jan-2017,,Unprovoked,AUSTRALIA,Swimming,,Injury to hand,,Afternoon
185,13-Jan-2017,,Unprovoked,USA,,,Minor injury to hand,,Unknown
186,09-Jan-2017,,Unprovoked,INDONESIA,Surfing,,Injury to right wrist & forearm,,Morning
187,Reported 08-Jan-2017,,Invalid,AUSTRALIA,Spearfishing,,"No attack, shark made a threat display",,Unknown
188,05-Jan-2017,,Unprovoked,USA,Wading,,Minor injuries to foot,,Afternoon
189,03-Jan-2017,,Invalid,AUSTRALIA,Wading,,Minor injuries to foot & toes,,Evening
190,27-Dec-2016,,Unprovoked,USA,Surfing,,Lacerations to right forearm,,Evening
191,24-Dec-2016,,Unprovoked,AUSTRALIA,Snorkeling,,Buttock bitten,,Unknown
192,19-Dec-2016,,Unprovoked,SOUTH AFRICA,Surf skiing ,,"No injury, but ski severely damaged",,Morning
193,14-Dec-2016,,Unprovoked,AUSTRALIA,Free diving,,Punctures to left foot/ankle,,Morning
194,11-Dec-2016,,Unprovoked,FRENCH POLYNESIA,Fishing,,Hand injured?,,Unknown
195,11-Dec-2016,,Invalid,USA,Surfing,,Cuts to right ankle & foot,,Unknown
196,06-Dec-2016,,Provoked,AUSTRALIA,Surf fishing,,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,,Night
197,01-Dec-2016,,Unprovoked,AUSTRALIA,Surfing,,Injuries to foot & arm,,Morning
198,28-Nov-2016,,Provoked,AUSTRALIA,Fishing,,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,,Morning
199,14-Nov-2016,,Unprovoked,USA,Floating,,Injuries to right calf and thigh,,Morning
200,30-Oct-2016,,Unprovoked,USA,Surfing,,Lacerations to right foot and ankle,,Unknown
201,29-Oct-2016,,Unprovoked,USA,Surfing,,Lacerations to right hand,,Unknown
202,24-Oct-2016,,Unprovoked,AUSTRALIA,Surfing,,Lacerations to left thigh,,Morning
203,21-Oct-2016,,Unprovoked,USA,Surfing,,Left arm and leg injured,,Evening
204,15-Oct-2016,,Unprovoked,AUSTRALIA,Surfing,,Torso nipped,,Evening
205,14-Oct-2016,,Unprovoked,USA,Snorkeling,,Injuries to left calf,,Morning
206,13-Oct-2016,,Invalid,MEXICO,Cage Diving,,"Shark breached cage, no injury to diver",,Unknown
207,12-Oct-2016,,Unprovoked,AUSTRALIA,Surfing,,Minor wound to lower right leg & surfboard bitten,,Morning
208,10-Oct-2016,,Unprovoked,USA,Surfing,,Wounds to upper thigh and lower leg,,Afternoon
209,02-Oct-2016,,Unprovoked,USA,Surfing,,Cuts to dorsal surface of left foot,,Morning
210,01-Oct-2016,,Unprovoked,USA,Surfng,,Minor injuries,,Evening
211,26-Sep-2016,,Unprovoked,AUSTRALIA,Surfing,,4 deep lacerations to thigh,,Unknown
212,18-Sep-2016,,Unprovoked,USA,Surfing,,Minor injury to thigh,,Afternoon
213,18-Sep-2016,,Unprovoked,USA,Surfing,,Lacerations to hands,,Morning
214,18-Sep-2016,,Unprovoked,USA,Surfing,,Lacerations to lower leg,,Morning
215,17-Sep-2016,,Unprovoked,USA,Surfing,,"No injury, board bitten",,Unknown
216,17-Sep-2016,,Unprovoked,AUSTRALIA,Surfing,,Struck by fin on chest & leg,,Unknown
217,16-Sep-2016,,Unprovoked,AUSTRALIA,Surfing,,No injury: Knocked off board by shark,,Unknown
218,15-Sep-2016,,Boat,AUSTRALIA,Fishing,,Shark rammed boat. No injury to occupant,,Unknown
219,11-Sep-2016,,Unprovoked,USA,Wading,,Minor injury to arm,,Afternoon
220,07-Sep-2016,,Unprovoked,USA,Swimming,,Severe lacerations to shoulder & forearm,,Afternoon
221,06-Sep-2016,,Unprovoked,NEW CALEDONIA,Kite surfing,,FATAL,,Afternoon
222,05-Sep-2016,,Unprovoked,USA,Boogie boarding,,Lacerations & punctures to lower right leg,,Unknown
223,05-Sep-2016,,Unprovoked,AUSTRALIA,Surfing,,"No inury, board broken in half by shark",,Unknown
224,04-Sep-2016,,Unprovoked,USA,Body boarding,,Foot bitten,,Unknown
225,01-Sep-2016,,Unprovoked,USA,Spearfishing,,Two toes broken & lacerated,,Unknown
226,Sep-2016,,Invalid,MEXICO,Cage Diving,,"No injury to divers, white shark breached cage",,Unknown
227,29-Aug-2016,,Unprovoked,USA,Surfing,,Lacerations to right foot,,Afternoon
228,29-Aug-2016,,Unprovoked,USA,Surfing,,Minor injury to ankle,,Afternoon
229,27-Aug-2016,,Unprovoked,REUNION,Surfing,,"Right arm severed, ankle severely bitten ",,Evening
230,25-Aug-2016,,Unprovoked,USA,Wading,,Minor injury to ankle,,Afternoon
231,07-Aug-2016,,Unprovoked,BAHAMAS,Snorkeling,,Lacerations to left leg,,Unknown
232,06-Aug-2016,,Unprovoked,USA,SUP Foil boarding,,"No inury, shark & board collided",,Afternoon
233,04-Aug-2016,,Unprovoked,USA,Surfing,,Big toe bitten,,Unknown
234,29-Jul-2016,,Unprovoked,SPAIN,Swimming,,Lacerations to right hand,,Morning
235,28-Jul-2016,,Unprovoked,CHINA,Swimming,,Lacerations to leg,,Unknown
236,28-Jul-2016,,Boat,AUSTRALIA,Kayaking,,"No injury, shark nudged kayak repeatedly",,Unknown
237,27-Jul-2016,,Provoked,USA,Lobstering,,Laceration to left forearm PROVOKED INCIDENT,,Unknown
238,26-Jul-2016,,Unprovoked,AUSTRALIA,Surfing,,"No injury. Leg rope severed, knocked off board by shark",,Afternoon
239,24-Jul-2016,,Unprovoked,JAPAN,Surfing,,Lacerations to left leg,,Evening
240,23-Jul-2016,,Unprovoked,AUSTRALIA,Surfing,,Calf bumped but no injury,,Unknown
241,23-Jul-2016,,Unprovoked,BAHAMAS,Spearfishing,,Lacerations to face and right leg,,Unknown
242,20-Jul-2016,,Provoked,AUSTRALIA,Fishing,,Laceration to left calf from hooked shark PROVOKED INCIDENT,,Unknown
243,17-Jul-2016,,Boat,USA,Fishing in Alabama Deep Fishing Rodeo,,"No injury, shark bit trolling motor",,Unknown
244,16-Jul-2016,,Unprovoked,USA,Surfing,,Minor injury to leg,,Night
245,16-Jul-2016,,Unprovoked,USA,,,Minor injury to toes,,Morning
246,15-Jul-2016,,Unprovoked,USA,Kite surfing,,"No injury, board damaged",,Evening
247,15-Jul-2016,,Unprovoked,USA,Swimming,,Puncture wounds to foot,,Unknown
248,Reported  14-Jul-2016,,Unprovoked,BAHAMAS,Scuba Diving,,Face bruised when partly blind shark collided with him,,Unknown
249,Reported 08-Jul-2016,,Unprovoked,SPAIN,Wading,,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",,Unknown
250,08-Jul-2016,,Boat,USA,Fishing for squid,,"No injury. Hull bitten, tooth fragment recovered",,Unknown
251,07-Jul-2016,,Provoked,USA,Fishing,,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,,Morning
252,07-Jul-2016,,Boat,USA,Fishing for sharks,,"No injury. Hull bitten, tooth fragment recovered",,Unknown
253,06-Jul-2016,,Unprovoked,USA,Swimming,,"Buttocks, thigh, left hand & wrist injured",,Unknown
254,04-Jul-2016,,Provoked,AUSTRALIA,Fishing,,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,,Night
255,27-Jun-2016,,Unprovoked,USA,,,Minor injury,,Afternoon
256,25-Jun-2016,,Unprovoked,USA,Surfing,,Foot injured,,Afternoon
257,24-Jun-2016,,Unprovoked,COLUMBIA,Scuba Diving,,Severe bite to right hand,,Morning
258,23-Jun-2016,,Unprovoked,SOUTH AFRICA,Spearfishing,,Injuries to left leg & right hand,,Unknown
259,21-Jun-2016,,Unprovoked,USA,Floating,,Lacerations and punctures to foot,,Afternoon
260,21-Jun-2016,,Unprovoked,USA,Wading,,Injuries to right calf,,Afternoon
261,15-Jun-2016,,Unprovoked,USA,Surfing,,Single puncture wound to arm,,Morning
262,15-Jun-2016,,Provoked,AUSTRALIA,Spearfishing,,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,,Unknown
263,14-Jun-2016,,Unprovoked,USA,Floating in tube,,Injury to lower leg,,Evening
264,11-Jun-2016,,Unprovoked,USA,Standing,,Laceration to wrist,,Afternoon
265,07-Jun-2016,,Invalid,USA,Surfing,,"No injury, board damaged",,Morning
266,05-Jun-2016,,Unprovoked,USA,Swimming,,Leg bitten,,Morning
267,05-Jun-2016,,Unprovoked,AUSTRALIA,Diving,,FATAL,,Morning
268,04-Jun-2016,,Unprovoked,EGYPT,Swimming,,"Leg severely bitten, surgically amputated",,Unknown
269,02-Jun-2016,,Unprovoked,AUSTRALIA,Spearfishing,,"No injury, but sharks repeatedly hit their fins and guns",,Unknown
270,02-Jun-2016,,Unprovoked,NEW CALEDONIA,Kite surfing,,Laceration to heel,,Unknown
271,31-May-2016,,Unprovoked,AUSTRALIA,Surfing,,FATAL,,Afternoon
272,29-May-2016,,Unprovoked,USA,Swimming,,Injuries to arm and shoulder,,Afternoon
273,29-May-2016,,Unprovoked,USA,Swimming,,Injury to posterior right leg,,Afternoon
274,22-May-2016,,Unprovoked,USA,Swimming,,Puncture wounds to thigh,,Afternoon
275,21-May-2016,,Unprovoked,USA,Swimming,,Lacerations and puncture wounds to foot and ankle,,Evening
